indx	film	id	rank	release_date	release_year	five_yr	verdict	verdict_rank	budget	first_week	tot_net_gross	budget_adjust	first_week_adjust	tot_net_gross_adjust	success_flop	profit_ratio
1424	Shohrat	2787	1481	1996-06-28	1996	1995	Disaster	1	0.9	0.37	0.633	4.32	1.776	3.038	0.0	1.0
1425	Just Married	1452	1482	2007-03-16	2007	2005	Disaster	1	8.0	3.24	4.17	20.8	8.424	10.842	0.0	1.0
1426	Rangrezz	655	1485	2013-03-22	2013	2010	Disaster	1	23.0	6.34	6.65	34.73	9.573	10.042	0.0	1.0
1427	Agni Varsha	1951	1486	2002-08-30	2002	2000	Disaster	1	6.0	1.3	1.71	19.5	4.225	5.558	0.0	1.0
1428	Why Cheat India	5571	1487	2019-01-18	2019	2015	Disaster	1	23.0	8.61	8.785	25.3	9.471	9.664	0.0	1.0
1429	Heeralal Pannalal	2352	1489	1999-10-22	1999	1995	Disaster	1	1.5	0.585	0.848	5.325	2.077	3.01	0.0	1.0
1430	Karobaar	746	1490	2000-09-15	2000	2000	Disaster	1	6.0	0.785	1.145	21.18	2.771	4.042	0.0	1.0
1431	Darr @ The Mall	2175	1491	2014-02-21	2014	2010	Disaster	1	16.0	5.31	5.75	22.08	7.328	7.935	0.0	1.0
1432	Aiyyaa	1149	1492	2012-10-12	2012	2010	Disaster	1	19.0	5.93	6.07	31.92	9.962	10.198	0.0	1.0
1433	Veerappan	3291	1493	2016-05-27	2016	2015	Disaster	1	14.0	6.16	6.425	17.22	7.577	7.903	0.0	1.0
1434	Hum Tum Aur Ghost	118	1494	2010-03-26	2010	2010	Disaster	1	21.0	4.07	4.885	40.95	7.937	9.526	0.0	1.0
1435	Raja Bhaiya	563	1495	2003-10-24	2003	2000	Disaster	1	4.75	1.18	1.65	14.962	3.717	5.198	0.0	1.0
1436	Dushman Duniya Ka	2757	1496	1996-09-20	1996	1995	Disaster	1	1.25	0.44299999999999995	0.703	6.0	2.126	3.374	0.0	1.0
1437	Gangster	2919	1497	1995-10-20	1995	1995	Disaster	1	1.0	0.44	0.618	5.27	2.319	3.257	0.0	1.0
1438	Muskaan	487	1498	2004-03-26	2004	2000	Disaster	1	4.0	1.31	2.04	12.12	3.969	6.181	0.0	1.0
1439	Pataakha	3919	1499	2018-09-28	2018	2015	Disaster	1	19.0	7.61	7.962999999999999	21.85	8.752	9.157	0.0	1.0
1440	Watan	3107	1500	1994-06-17	1994	1995	Disaster	1	0.5	0.16	0.34	2.885	0.923	1.962	0.0	1.0
1441	Namaste England	3968	1501	2018-10-18	2018	2015	Disaster	1	54.0	7.48	7.922999999999999	62.1	8.602	9.111	0.0	1.0
1442	Zahreela	703	1502	2001-03-02	2001	2000	Disaster	1	1.25	0.53	0.865	4.262	1.807	2.95	0.0	1.0
1443	Paagalpan	2055	1503	2001-06-08	2001	2000	Disaster	1	2.25	0.67	1.03	7.672	2.285	3.512	0.0	1.0
1444	Risk	352	1504	2007-01-19	2007	2005	Disaster	1	6.0	2.45	2.83	15.6	6.37	7.358	0.0	1.0
1445	Aapko Pehle Bhi Kahin Dekha Hai	579	1505	2003-01-10	2003	2000	Disaster	1	4.25	1.19	1.515	13.388	3.748	4.772	0.0	1.0
1446	Pran Jaye Par Shaan Na Jaye	551	1506	2003-05-02	2003	2000	Disaster	1	3.25	0.97	1.528	10.237	3.056	4.813	0.0	1.0
1447	Paltan	3830	1507	2018-09-07	2018	2015	Disaster	1	35.0	7.3	7.77	40.25	8.395	8.936	0.0	1.0
1448	Sholay Aur Toofan	3167	1508	1994-03-04	1994	1995	Disaster	1	0.25	0.16	0.31	1.442	0.923	1.789	0.0	2.0
1449	Dharma Karma	2643	1509	1997-10-03	1997	1995	Disaster	1	1.25	0.36	0.645	5.438	1.566	2.806	0.0	1.0
1450	Kaun Sachcha Kaun Jhootha	2692	1511	1997-04-11	1997	1995	Disaster	1	2.0	0.54	0.733	8.7	2.349	3.189	0.0	1.0
1451	Ek Se Badhkar Ek	496	1512	2004-09-17	2004	2000	Disaster	1	6.5	1.75	2.115	19.695	5.302	6.408	0.0	1.0
1452	Teen Patti	101	1513	2010-02-26	2010	2010	Disaster	1	18.0	4.62	4.765	35.1	9.009	9.292	0.0	1.0
1453	C Kkompany	217	1514	2008-08-29	2008	2005	Disaster	1	10.0	3.14	3.49	24.6	7.724	8.585	0.0	1.0
1454	Kaafila	249	1515	2007-08-10	2007	2005	Disaster	1	17.0	2.16	2.468	44.2	5.616	6.417	0.0	1.0
1455	Filhaal...	631	1516	2002-02-01	2002	2000	Disaster	1	4.0	1.09	1.91	13.0	3.543	6.208	0.0	1.0
1456	Chaar Din Ki Chandni	22	1517	2012-03-09	2012	2010	Disaster	1	12.5	4.11	4.86	21.0	6.905	8.165	0.0	1.0
1457	Guest In London	3560	1518	2017-07-07	2017	2015	Disaster	1	28.0	6.95	7.255	33.6	8.34	8.706	0.0	1.0
1458	Maseeha	645	1519	2002-12-13	2002	2000	Disaster	1	4.5	0.775	1.155	14.625	2.519	3.754	0.0	1.0
1459	Noor	3512	1520	2017-04-21	2017	2015	Disaster	1	24.0	6.64	6.712999999999999	28.8	7.968	8.056	0.0	1.0
1460	Sarhad	2927	1521	1995-10-06	1995	1995	Disaster	1	1.25	0.385	0.66	6.587	2.029	3.478	0.0	1.0
1461	Sabse Bada Beimaan	2164	1522	2000-06-02	2000	2000	Disaster	1	1.25	0.4	0.78	4.412	1.412	2.753	0.0	1.0
1462	Justice Chowdhary	2142	1523	2000-08-04	2000	2000	Disaster	1	1.0	0.46	0.785	3.53	1.624	2.771	0.0	1.0
1463	Mr. White Mr. Black	326	1524	2008-05-02	2008	2005	Disaster	1	11.0	2.49	2.8080000000000003	27.06	6.125	6.908	0.0	1.0
1464	Indian Babu	582	1525	2003-03-07	2003	2000	Disaster	1	4.75	0.82	1.29	14.962	2.583	4.064	0.0	1.0
1465	Shikaar - The Musical Thriller	1829	1526	2004-07-02	2004	2000	Disaster	1	3.5	0.985	1.6	10.605	2.985	4.848	0.0	1.0
1466	Oops!	654	1527	2003-08-01	2003	2000	Disaster	1	2.75	1.2	1.963	8.662	3.78	6.183	0.0	1.0
1467	Rog	1762	1528	2005-01-07	2005	2005	Disaster	1	3.5	1.92	2.23	10.22	5.606	6.512	0.0	1.0
1468	Jaane Jigar	2554	1529	1998-07-03	1998	1995	Disaster	1	1.25	0.423	0.718	5.112	1.73	2.937	0.0	1.0
1469	Xcuse Me!	1193	1530	2003-09-26	2003	2000	Disaster	1	2.25	1.225	1.715	7.087	3.859	5.402	0.0	1.0
1470	Pyaar Diwana Hota Hai	630	1531	2002-04-26	2002	2000	Disaster	1	4.25	0.68	1.093	13.812	2.21	3.552	0.0	1.0
1471	Khelein Hum Jee Jaan Sey	131	1532	2010-12-03	2010	2010	Disaster	1	39.0	4.52	4.663	76.05	8.814	9.093	0.0	1.0
1472	Sikandar Sadak Ka	2464	1533	1999-01-01	1999	1995	Disaster	1	2.0	0.433	0.685	7.1	1.537	2.432	0.0	1.0
1473	Roadside Romeo	198	1534	2008-10-24	2008	2005	Disaster	1	15.0	3.385	4.54	36.9	8.327	11.168	0.0	1.0
1474	Phir Milenge	479	1535	2004-08-27	2004	2000	Disaster	1	5.5	1.47	2.495	16.665	4.454	7.56	0.0	1.0
1475	Fauj	3091	1536	1994-07-29	1994	1995	Disaster	1	0.55	0.205	0.32799999999999996	3.174	1.183	1.893	0.0	1.0
1476	Dishkiyaoon	2214	1537	2014-03-28	2014	2010	Disaster	1	3.9	4.43	4.58	5.382	6.113	6.32	0.0	2.0
1477	Guddu Rangeela	2891	1538	2015-07-03	2015	2015	Disaster	1	20.0	5.97	6.395	26.0	7.761	8.314	0.0	1.0
1478	Tathastu	373	1539	2006-05-12	2006	2005	Disaster	1	11.0	1.645	1.935	30.47	4.557	5.36	0.0	1.0
1479	Kya Love Story Hai	1474	1540	2007-04-20	2007	2005	Disaster	1	7.25	2.59	2.895	18.85	6.734	7.527	0.0	1.0
1480	Agnee Morcha	2695	1541	1997-04-04	1997	1995	Disaster	1	1.0	0.315	0.523	4.35	1.37	2.275	0.0	1.0
1481	Darling	238	1542	2007-09-07	2007	2005	Disaster	1	6.5	2.5	2.905	16.9	6.5	7.553	0.0	1.0
1482	Uff Yeh Mohabbat	2729	1543	1996-12-13	1996	1995	Disaster	1	1.5	0.44	0.713	7.2	2.112	3.422	0.0	1.0
1483	Jai Veeru	788	1544	2009-03-13	2009	2005	Disaster	1	15.0	2.48	2.793	33.75	5.58	6.284	0.0	1.0
1484	Haseena Parkar	3608	1546	2017-09-22	2017	2015	Disaster	1	18.0	6.38	6.6129999999999995	21.6	7.656	7.936	0.0	1.0
1485	Lo Main Aagayaa	2462	1547	1999-01-08	1999	1995	Disaster	1	1.5	0.423	0.713	5.325	1.502	2.531	0.0	1.0
1486	Bharat Bhagya Vidhata	1978	1548	2002-04-19	2002	2000	Disaster	1	2.75	0.505	0.9	8.938	1.641	2.925	0.0	1.0
1487	Acid Factory	167	1549	2009-10-09	2009	2005	Disaster	1	21.0	3.76	3.798	47.25	8.46	8.546	0.0	1.0
1488	Mere Do Anmol Ratan	2528	1550	1998-09-04	1998	1995	Disaster	1	1.25	0.37	0.66	5.112	1.513	2.699	0.0	1.0
1489	Dilbar	2932	1551	1995-09-15	1995	1995	Disaster	1	0.9	0.228	0.45799999999999996	4.743	1.202	2.414	0.0	1.0
1490	Grahan	701	1552	2001-02-16	2001	2000	Disaster	1	5.0	0.51	0.85	17.05	1.739	2.898	0.0	1.0
1491	Shiva	372	1553	2006-11-15	2006	2005	Disaster	1	6.0	2.18	2.435	16.62	6.039	6.745	0.0	1.0
1492	Kalyug Ke Avtaar	2928	1554	1995-10-06	1995	1995	Disaster	1	1.0	0.265	0.418	5.27	1.397	2.203	0.0	1.0
1493	Samay - When Time Strikes	549	1555	2003-10-10	2003	2000	Disaster	1	3.5	1.12	1.845	11.025	3.528	5.812	0.0	1.0
1494	Ehsaas	1259	1556	2001-11-30	2001	2000	Disaster	1	4.5	0.7	0.968	15.345	2.387	3.301	0.0	1.0
1495	Avgat	2051	1557	2001-06-01	2001	2000	Disaster	1	1.5	0.595	1.003	5.115	2.029	3.42	0.0	1.0
1496	Agnichakra	2646	1558	1997-09-26	1997	1995	Disaster	1	1.5	0.37	0.55	6.525	1.61	2.392	0.0	1.0
1497	Pal Pal Dil Ke Paas	5711	1559	2019-09-20	2019	2015	Disaster	1	45.0	5.96	6.912999999999999	49.5	6.556	7.604	0.0	1.0
1498	Chef	3623	1560	2017-10-06	2017	2015	Disaster	1	31.0	5.34	6.23	37.2	6.408	7.476	0.0	1.0
1499	AK - 47	1800	1561	2004-10-01	2004	2000	Disaster	1	4.5	0.86	1.445	13.635	2.606	4.378	0.0	1.0
1500	Kaise Kahoon Ke... Pyaar Hai	573	1562	2003-05-09	2003	2000	Disaster	1	3.0	0.745	1.115	9.45	2.347	3.512	0.0	1.0
1501	Kalicharan	2517	1563	1998-10-02	1998	1995	Disaster	1	1.0	0.34	0.59	4.09	1.391	2.413	0.0	1.0
1502	Mehbooba	339	1564	2008-07-11	2008	2005	Disaster	1	22.0	1.72	2.005	54.12	4.231	4.932	0.0	1.0
1503	Padmashree Laloo Prasad Yadav	1755	1565	2005-01-28	2005	2005	Disaster	1	6.5	1.15	1.63	18.98	3.358	4.76	0.0	1.0
1504	Bhairav	2094	1566	2001-01-19	2001	2000	Disaster	1	1.0	0.355	0.695	3.41	1.211	2.37	0.0	1.0
1505	Baali Umar Ko Salaam	3173	1567	1994-02-18	1994	1995	Disaster	1	0.6	0.203	0.293	3.462	1.171	1.691	0.0	1.0
1506	Aksar 2	3656	1568	2017-11-17	2017	2015	Disaster	1	9.0	4.58	5.043	10.8	5.496	6.052	0.0	1.0
1507	Jackpot	1936	1569	2013-12-13	2013	2010	Disaster	1	27.0	4.19	4.375	40.77	6.327	6.606	0.0	1.0
1508	Total Siyaapa	2200	1570	2014-03-07	2014	2010	Disaster	1	17.0	5.4	5.805	23.46	7.452	8.011	0.0	1.0
