film	id	rank	release_date	verdict	budget	first_week	tot_net_gross
Saajan Chale Sasural	2807	81	12-Apr-96	Super Hit	42500000	36475000	138200000
Raajneeti	89	82	4-Jun-10	Super Hit	610000000	537700000	923750000
Coolie No. 1	2974	83	30-Jun-95	Super Hit	35000000	35675000	125575000
Partner	258	84	20-Jul-07	Super Hit	280000000	277400000	600450000
Singh Is Kinng	202	85	8-Aug-08	Super Hit	500000000	393800000	679050000
Judaai	2703	86	28-Feb-97	Super Hit	60000000	22300000	140950000
Chak De India	234	87	10-Aug-07	Super Hit	220000000	215300000	665400000
Fanaa	297	88	26-May-06	Super Hit	300000000	203200000	518700000
Bandit Queen	2827	89	26-Jan-96	Super Hit	32500000	23900000	140950000
Hum Aapke Dil Mein Rehte Hain	2455	90	22-Jan-99	Super Hit	62500000	36400000	170300000
Veer Zaara	451	91	12-Nov-04	Super Hit	230000000	175700000	418600000
No Entry	389	92	26-Aug-05	Super Hit	240000000	140800000	447200000
Rustom	3357	93	12-Aug-16	Super Hit	730000000	893200000	1244500000
Toilet Ek Prem Katha	3578	94	11-Aug-17	Super Hit	750000000	942100000	1320700000
Chhichhore	5706	95	6-Sep-19	Super Hit	530000000	666300000	1473250000
Judwaa 2	3611	96	29-Sep-17	Super Hit	630000000	953500000	1323900000
Dilwale	3178	97	4-Feb-94	Super Hit	21000000	15125000	63325000
Airlift	3211	98	22-Jan-16	Super Hit	680000000	792900000	1234650000
Taare Zameen Par	263	99	21-Dec-07	Super Hit	180000000	165700000	618325000
Dream Girl	5707	100	13-Sep-19	Super Hit	360000000	701200000	1393700000
Bhaag Milkha Bhaag	1292	101	12-Jul-13	Super Hit	530000000	523700000	1091850000
Badrinath Ki Dulhania	3480	102	10-Mar-17	Super Hit	440000000	717700000	1141150000
ABCD 2	2882	103	19-Jun-15	Super Hit	650000000	718700000	1035850000
Grand Masti	1482	104	13-Sep-13	Super Hit	340000000	638200000	916550000
Barfi!	1061	105	14-Sep-12	Super Hit	500000000	567900000	1055700000
Stree	3826	106	31-Aug-18	Super Hit	240000000	593100000	1245650000
Raazi	3760	107	11-May-18	Super Hit	380000000	561800000	1223950000
Phir Hera Pheri	367	108	9-Jun-06	Super Hit	180000000	175000000	408100000
The Dirty Picture	30	109	2-Dec-11	Super Hit	310000000	484100000	797875000
Bunty Aur Babli	390	110	27-May-05	Super Hit	125000000	143700000	362500000
Ek Villain	2271	111	27-Jun-14	Super Hit	390000000	726500000	975150000
Mujhe Kucch Kehna Hai	665	112	25-May-01	Super Hit	70000000	51100000	172750000
Ajab Prem Ki Ghazab Kahani	139	113	6-Nov-09	Super Hit	440000000	377300000	628475000
OMG! Oh My God	1142	114	28-Sep-12	Super Hit	250000000	358500000	814350000
2 States	2228	115	18-Apr-14	Super Hit	450000000	584500000	1018600000
Dhoom	450	116	27-Aug-04	Super Hit	110000000	105100000	316000000
Bala	5732	117	8-Nov-19	Super Hit	320000000	692200000	1109750000
Sonu Ke Titu Ki Sweety	3720	118	23-Feb-18	Super Hit	400000000	445600000	1008050000
Raaz 3	1046	119	7-Sep-12	Super Hit	310000000	516500000	674050000
Jaane Tu... Ya Jaane Na	317	120	4-Jul-08	Super Hit	150000000	210100000	556225000
Kya Kehna	750	121	19-May-00	Super Hit	40000000	28100000	121700000
Malamaal Weekly	366	122	10-Mar-06	Super Hit	70000000	102600000	268850000
Fukrey Returns	3672	123	8-Dec-17	Super Hit	290000000	491100000	779050000
Jannat	316	124	16-May-08	Super Hit	100000000	142400000	301000000
Murder 2	38	125	8-Jul-11	Super Hit	130000000	352000000	479800000
Bewafa Sanam	2985	126	12-May-95	Super Hit	12500000	6650000	49625000
Pyaar Ka Punchnama 2	3083	127	16-Oct-15	Super Hit	220000000	368000000	603825000
Murder	458	128	2-Apr-04	Super Hit	50000000	52700000	150100000
Prem Ratan Dhan Payo	3125	129	12-Nov-15	Hit	1800000000	1576000000	1943050000
Devdas	591	130	12-Jul-02	Hit	440000000	117800000	416550000
Bajirao Mastani	3193	131	18-Dec-15	Hit	1450000000	843600000	1837500000
Lagaan	659	132	15-Jun-01	Hit	240000000	66300000	343050000
Hum Dil De Chuke Sanam	2403	133	18-Jun-99	Hit	160000000	57400000	247600000
Gupt	2674	134	4-Jul-97	Hit	95000000	53450000	182300000
Bade Miyan Chote Miyan	2515	135	16-Oct-98	Hit	120000000	63300000	191900000
Ra.One	28	136	26-Oct-11	Hit	1300000000	905300000	1139475000
Indian	660	137	26-Oct-01	Hit	150000000	90800000	242150000
Don 2	29	138	23-Dec-11	Hit	760000000	711800000	1064400000
Bol Bachchan	262	139	6-Jul-12	Hit	660000000	614100000	1000525000
Holiday - A Soldier Is Never Off Duty	2256	140	6-Jun-14	Hit	860000000	686400000	1124400000
Kal Ho Naa Ho	508	141	27-Nov-03	Hit	280000000	124500000	385500000
Total Dhamaal	5607	142	22-Feb-19	Hit	1130000000	922400000	1500750000
Goliyon Ki Raasleela Ram - Leela	1765	143	15-Nov-13	Hit	880000000	738700000	1129750000
Sarfarosh	2411	144	30-Apr-99	Hit	80000000	44800000	187650000
Judwaa	2706	145	7-Feb-97	Hit	62500000	40300000	131400000
Saaho	5702	146	30-Aug-19	Hit	3250000000	1209000000	1488400000
Kesari	5617	147	21-Mar-19	Hit	1260000000	973500000	1518750000
Dulhan Hum Le Jayenge	716	148	24-Mar-00	Hit	110000000	70900000	188500000
Wanted	137	149	18-Sep-09	Hit	520000000	336300000	602400000
Laadla	3159	150	25-Mar-94	Hit	32500000	20175000	71575000
Kachche Dhaage	2452	151	19-Feb-99	Hit	100000000	57000000	161900000
Rang De Basanti	369	152	26-Jan-06	Hit	280000000	153500000	530800000
Super 30	5688	153	12-Jul-19	Hit	1200000000	755800000	1470000000
Jab Tak Hai Jaan	1177	154	13-Nov-12	Hit	780000000	722700000	1015900000
Main Hoon Na	452	155	30-Apr-04	Hit	250000000	145700000	362000000
Don - The Chase Begins Again	292	156	20-Oct-06	Hit	380000000	244400000	503450000
Son Of Sardaar	1178	157	13-Nov-12	Hit	670000000	611400000	886800000
Jodi No.1	661	158	13-Apr-01	Hit	110000000	65700000	188950000
