	indx	film	id	rank	release_date	release_year	five_yr	verdict	verdict_rank	budget	first_week	tot_net_gross	budget_adjust	first_week_adjust	tot_net_gross_adjust	success_flop	profit_ratio	footfalls	screens	runtime	release_week	holiday_release	multiple_releases	genre	sequel_remake	production_banner	actors	directors	producers	music	lyrics	screenplay	dialogue	story	production_banner_exp	production_banner_hits	actors_exp	actors_hits	directors_exp	directors_hits	producers_exp	producers_hits	music_exp	music_hits	lyrics_exp	lyrics_hits	screenplay_exp	screenplay_hits	dialogue_exp	dialogue_hits	story_exp	story_hits	directors_awards	actors_awards	music_awards	lyrics_awards	screenplay_awards	dialogue_awards	story_awards
366	366	Ajnabee	663	374	2001-09-21	2001	2000	Average	4	17.0	8.07	17.04	57.97	27.519000000000002	58.106	0	2	10721000	325	167	37	0	1	Thriller	0	Film Folks	Akshay Kumar|Bobby Deol|Kareena Kapoor|Bipasha Basu	Abbas-Mustan	Vijay Galani	Anu Malik	Sameer	Neeraj Vora	Neeraj Vora|Robin Bhatt	none	1.0	0.0	29.0	4.0	3.0	1.0	1.0	0.0	55.0	11.0	108.0	19.0	2.0	0.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
367	367	Har Dil Jo Pyar Karega	720	375	2000-08-04	2000	2000	Average	4	13.0	7.79	15.275	45.89	27.499000000000002	53.92100000000001	0	2	10428000	375	150	31	0	1	Love Story	0	Nadiadwala Grandson Entertainment	Salman Khan|Rani Mukherjee|Preity Zinta|Kamini Kaushal	Raj Kanwar	Sajid Nadiadwala| 	Anu Malik	Sameer	Rumi Jaffery	Rumi Jaffery	Rumi Jaffery	3.0	2.0	23.0	11.0	6.0	4.0	3.0	2.0	56.0	11.0	106.0	21.0	11.0	5.0	11.0	3.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
368	368	China Gate	2500	376	1998-11-27	1998	1995	Average	4	9.25	3.535	12.775	37.832	14.458	52.25	1	2	10415000	200	163	47	0	1	Action	0	Santoshi Productions	Om Puri|Naseeruddin Shah|Danny Denzongpa|Amrish Puri	Rajkumar Santoshi	Rajkumar Santoshi	Anu Malik	Sameer	K.K. Raina|Rajkumar Santoshi|Anjum Rajabali	K.K. Raina|Rajkumar Santoshi	none	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
369	369	Dil Chahta Hai	664	377	2001-08-10	2001	2000	Average	4	14.0	5.73	20.02	47.74	19.539	68.268	1	2	10252000	210	185	31	0	1	Drama	0	Excel Entertainment	Aamir Khan|Saif Ali Khan|Akshaye Khanna|Preity Zinta	Farhan Akhtar	Ritesh Sidhwani	Shankar-Ehsaan-Loy	Javed Akhtar	Farhan Akhtar	Farhan Akhtar	Farhan Akhtar	0.0	0.0	33.0	9.0	0.0	0.0	0.0	0.0	4.0	0.0	29.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0
370	370	Krishna	2773	378	1996-08-02	1996	1995	Average	4	6.25	3.99	9.035	30.0	19.152	43.368	1	2	9992000	230	159	30	0	0	Action	0	Time Magnetics Pvt. Ltd.	Suneil Shetty|Karisma Kapoor|Shakti Kapoor|Tinnu Anand	S. Deepak	Dhirajlal Shah	Anu Malik	Anand Raj Anand|Madan Pal|Anwar Sagar|Nida Fazli	none	none	none	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
371	371	Khakee	454	379	2004-01-23	2004	2000	Average	4	26.0	10.81	25.79	78.78	32.754	78.14399999999999	0	1	9982000	525	180	3	0	1	Action	0	DMS Films Pvt. Ltd.	Amitabh Bachchan|Akshay Kumar|Ajay Devgn|Aishwarya Rai	Rajkumar Santoshi	Keshu Ramsay	Ram Sampath	Sameer	Shridhar Raghavan|Rajkumar Santoshi	Shridhar Raghavan	none	2.0	0.0	64.0	11.0	3.0	0.0	2.0	0.0	0.0	0.0	116.0	11.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
372	372	Ajay	2726	380	1996-12-27	1996	1995	Average	4	6.0	3.61	9.18	28.8	17.328	44.06399999999999	1	2	9972000	225	167	51	0	0	Action	0	Shree Krishna International	Sunny Deol|Karisma Kapoor|Reena Roy|Suresh Oberoi	Suneel Darshan	Suneel Darshan	Anand-Milind	Sameer	Rajeev Kaul|Praful Parekh	Kamlesh Pandey	none	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
373	373	Dhadkan	715	381	2000-08-11	2000	2000	Average	4	9.5	4.72	14.02	33.535	16.662	49.49100000000001	1	2	9914000	250	161	32	0	1	Love Story	0	Venus Records & Tapes Pvt. Ltd.	Akshay Kumar|Shilpa Shetty|Suneil Shetty|Mahima Chaudhary	Dharmesh Darshan	none	Nadeem-Shravan	Sameer	none	Raj Sinha|Naseem Mukri	Dharmesh Darshan|Naseem Mukri	2.0	0.0	59.0	5.0	1.0	1.0	0.0	0.0	22.0	8.0	106.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
374	374	Gold	3815	382	2018-08-15	2018	2015	Average	4	107.0	74.01	102.015	123.05	85.111	117.31700000000001	0	1	7894000	3050	153	32	2	1	Drama	0	Excel Entertainment	Akshay Kumar|Mouni Roy|Kunal Kapoor|Amit Sadh	Reema Kagti	Farhan Akhtar|Ritesh Sidhwani	Sachin-Jigar|Arko Pravo Mukherjee|Tanishk	Vayu	none	none	none	7.0	1.0	24.0	7.0	0.0	0.0	14.0	2.0	48.0	10.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
375	375	Aankhen	594	383	2002-04-05	2002	2000	Average	4	17.0	6.67	17.48	55.25	21.678	56.81	0	2	9493000	310	158	13	0	1	Thriller	0	V.R. Pictures	Amitabh Bachchan|Akshay Kumar|Sushmita Sen|Arjun Rampal	Vipul Amrutlal Shah	Gaurang Doshi	Aadesh Shrivastava|Jatin-Lalit	Prasoon Joshi|Nitin Raikwar|Praveen Bhardwaj	none	none	none	0.0	0.0	38.0	3.0	0.0	0.0	1.0	0.0	46.0	8.0	15.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
