Holiday	Year	start_date	end_date
Durga	2005	10/10/2005	10/13/2005
Diwali	2005	11/1/2005	11/1/2005
Holi	2005	3/25/2005	3/25/2005
Ganesh	2005	9/7/2005	9/7/2005
Navratri	2005	10/4/2005	10/4/2005
Dussehra	2005	10/12/2005	10/12/2005
Onam	2005	9/6/2005	9/16/2005
Eid al Fitr	2005	11/3/2005	11/4/2005
Republic Day	2005	1/26/2005	1/26/2005
Independence Day	2005	8/15/2005	8/15/2005
Gandhi Jayanti	2005	10/2/2005	10/2/2005
Durga	2006	9/29/2006	10/2/2006
Diwali	2006	10/21/2006	10/21/2006
Holi	2006	3/14/2006	3/14/2006
Ganesh	2006	8/27/2006	8/27/2006
Navratri	2006	9/23/2006	9/23/2006
Dussehra	2006	10/2/2006	10/2/2006
Onam	2006	8/27/2006	9/7/2006
Eid al Fitr	2006	10/24/2006	10/25/2006
Republic Day	2006	1/26/2006	1/26/2006
Independence Day	2006	8/15/2006	8/15/2006
Gandhi Jayanti	2006	10/2/2006	10/2/2006
Durga	2007	10/18/2007	10/21/2007
Diwali	2007	11/9/2007	11/9/2007
Holi	2007	3/3/2007	3/3/2007
Ganesh	2007	9/15/2007	9/15/2007
Navratri	2007	10/12/2007	10/12/2007
Dussehra	2007	10/21/2007	10/21/2007
Onam	2007	8/16/2007	8/26/2007
Eid al Fitr	2007	10/13/2007	10/14/2007
Republic Day	2007	1/26/2007	1/26/2007
Independence Day	2007	8/15/2007	8/15/2007
Gandhi Jayanti	2007	10/2/2007	10/2/2007
Durga	2008	10/6/2008	10/10/2008
Diwali	2008	10/28/2008	10/28/2008
Holi	2008	3/21/2008	3/21/2008
Ganesh	2008	9/3/2008	9/3/2008
Navratri	2008	9/30/2008	9/30/2008
Dussehra	2008	10/9/2008	10/9/2008
Onam	2008	9/2/2008	9/12/2008
Eid al Fitr	2008	10/2/2008	10/3/2008
Republic Day	2008	1/26/2008	1/26/2008
Independence Day	2008	8/15/2008	8/15/2008
Gandhi Jayanti	2008	10/2/2008	10/2/2008
Durga	2009	9/25/2009	9/28/2009
Diwali	2009	10/17/2009	10/17/2009
Holi	2009	3/10/2009	3/10/2009
Ganesh	2009	8/23/2009	8/23/2009
Navratri	2009	9/19/2009	9/19/2009
Dussehra	2009	9/28/2009	9/28/2009
Onam	2009	8/23/2009	9/4/2009
Eid al Fitr	2009	9/21/2009	9/22/2009
Republic Day	2009	1/26/2009	1/26/2009
Independence Day	2009	8/15/2009	8/15/2009
Gandhi Jayanti	2009	10/2/2009	10/2/2009
Durga	2010	10/14/2010	10/17/2010
Diwali	2010	11/5/2010	11/5/2010
Holi	2010	2/28/2010	2/28/2010
Ganesh	2010	9/11/2010	9/11/2010
Navratri	2010	10/8/2010	10/8/2010
Dussehra	2010	10/17/2010	10/17/2010
Onam	2010	8/13/2010	8/23/2010
Eid al Fitr	2010	9/10/2010	9/11/2010
Republic Day	2010	1/26/2010	1/26/2010
Independence Day	2010	8/15/2010	8/15/2010
Gandhi Jayanti	2010	10/2/2010	10/2/2010
Durga	2011	10/3/2011	10/6/2011
Diwali	2011	10/26/2011	10/26/2011
Holi	2011	3/19/2011	3/19/2011
Ganesh	2011	9/1/2011	9/1/2011
Navratri	2011	9/28/2011	9/28/2011
Dussehra	2011	10/6/2011	10/6/2011
Onam	2011	8/31/2011	9/11/2011
Eid al Fitr	2011	8/31/2011	9/1/2011
Republic Day	2011	1/26/2011	1/26/2011
Independence Day	2011	8/15/2011	8/15/2011
Gandhi Jayanti	2011	10/2/2011	10/2/2011
Durga	2012	10/21/2012	10/24/2012
Diwali	2012	11/13/2012	11/13/2012
Holi	2012	3/7/2012	3/7/2012
Ganesh	2012	9/19/2012	9/19/2012
Navratri	2012	10/16/2012	10/16/2012
Dussehra	2012	10/24/2012	10/24/2012
Onam	2012	8/20/2012	8/31/2012
Eid al Fitr	2012	8/19/2012	8/20/2012
Republic Day	2012	1/26/2012	1/26/2012
Independence Day	2012	8/15/2012	8/15/2012
Gandhi Jayanti	2012	10/2/2012	10/2/2012
Durga	2013	10/11/2013	10/14/2013
Diwali	2013	11/3/2013	11/3/2013
Holi	2013	3/26/2013	3/26/2013
Ganesh	2013	9/9/2013	9/9/2013
Navratri	2013	10/5/2013	10/5/2013
Dussehra	2013	10/13/2013	10/13/2013
Onam	2013	8/11/2013	8/21/2013
Eid al Fitr	2013	8/8/2013	8/9/2013
Republic Day	2013	1/26/2013	1/26/2013
Independence Day	2013	8/15/2013	8/15/2013
Gandhi Jayanti	2013	10/2/2013	10/2/2013
Durga	2014	10/1/2014	10/4/2014
