indx	film	id	screens	runtime	genre	sequel_remake	production_banner	actors	directors	producers	music	lyrics	screenplay	dialogue	story
1221	Ab Tumhare Hawale Watan Saathiyo	441	425	193	Action	0	Movie World Studios Ltd.	Amitabh Bachchan|Akshay Kumar|Bobby Deol|Divya Khosla	Anil Sharma	Anil Sharma	Anu Malik	Sameer	Shaktimaan	Shaktimaan	Shaktimaan
1222	Guzaarish	78	1300	126	Drama	0	Sanjay Leela Bhansali Films|UTV Motion Pictures	Hrithik Roshan|Aishwarya Rai|Aditya Roy Kapoor|Nafisa Ali	Sanjay Leela Bhansali	Ronnie Screwvala|Sanjay Leela Bhansali	Sanjay Leela Bhansali	A.M. Turaz|Vibhu Puri	none	Bhavani Iyer	none
1223	Players	8	1900	166	Action	0	Burmawala Bros|Viacom 18 Motion Pictures	Vinod Khanna|Bobby Deol|Abhishek Bachchan|Bipasha Basu	Abbas-Mustan	none	Pritam	Ashish Pandit	Nikhat Bhatty|Bhaskar Hazarika|Sourabh Ratnu	Rohit Jugraj	none
1224	Khiladi 420	748	250	168	Action	0	DMS Films Pvt. Ltd.	Akshay Kumar|Mahima Chaudhary|Antara Mali|Sudhanshu Pandey	Neeraj Vora	Keshu Ramsay	Sanjeev-Darshan	Sameer	Uttam Gada	Neeraj Vora|Uttam Gada	none
1225	The Legend Of Bhagat Singh	619	245	156	Drama	0	Tips Industries Pvt. Ltd.	Ajay Devgn|Sushant Singh|D. Santosh|Akhilendra Mishra	Rajkumar Santoshi	Ramesh S. Taurani|Kumar S. Taurani	A.R. Rahman	Sameer	Anjum Rajabali	Anjum Rajabali	none
1226	Yuvvraaj	333	1100	161	Drama	0	Eros International|Mukta Arts	Salman Khan|Boman Irani|Anil Kapoor|Zayed Khan	Subhash Ghai	Subhash Ghai	A.R. Rahman	Gulzar	Subhash Ghai	Subhash Ghai|Sachin Bhowmick	none
1227	Aan - Men at Work	465	400	162	Action	0	Base Industries Group	Shatrughan Sinha|Akshay Kumar|Suneil Shetty|Paresh Rawal	Madhur Bhandarkar	Firoz Nadiadwala	Anu Malik	Dev Kohli|Tejpal Kaur|Sameer	Sanjeev Puri	none	none
1228	Bulandi	735	230	172	Drama	0	Maa Sherawali Productions	Rekha|Anil Kapoor|Raveena Tandon|Shakti Kapoor	T. Rama Rao	Yogesh Anand	Viju Shah	Anand Bakshi	Erode Sounder	none	Aadesh K. Arjun
1229	Aar Ya Paar	2709	115	153	Drama	0	Ketan Mehta Films Pvt. Ltd.	Jackie Shroff|Deepa Sahi|Ritu Shivpuri|Kamal Sidhu	Ketan Mehta	Ketan Mehta	Viju Shah	Nitin Raikwar|Rani Malik|Maya Govind|Indeevar	none	none	none
1230	Mr. Bechara	2765	135	143	Drama	0	Sapna Arts	Anil Kapoor|Sridevi|Nagarjuna Akkineni|Heera Rajgopal	K. Bhagyaraj	Nandu Tolani	Anand-Milind	Sameer|Nawab Arzoo	K. Bhagyaraj	Nawab Arzoo	none
