indx	film	id	screens	runtime	genre	sequel_remake	production_banner	actors	directors	producers	music	lyrics	screenplay	dialogue	story
0	Hum Aapke Hain Koun..!	11	35	206	Drama	0	Rajshri Productions Pvt. Ltd.	Madhuri Dixit|Salman Khan|Mohnish Bahl|Renuka Shahane	Sooraj Barjatya	Rajkumar Barjatya|Kamal Kumar Barjatya|Ajit Kumar Barjatya	Raam-Laxman	Dev Kohli|Ravindra Rawal	none	none	none
1	Bahubali 2 - The Conclusion	3517	3950	167	Romance	1	Arka Mediaworks|Dharma Productions Pvt. Ltd.	Prabhas|Rana Daggubati|Anushka Shetty|Tamannaah Bhatia	S.S. Rajamouli	K. Raghavendra Rao|Shobu Yarlagadda|Prasad Devineni	M.M. Kreem	Manoj Muntashir	S.S. Rajamouli	none	none
2	Gadar - Ek Prem Katha	657	350	178	Action	0	Zee Motion Pictures	Sunny Deol|Ameesha Patel|Amrish Puri|Lillete Dubey	Anil Sharma	Nitin Keni	Uttam Singh	Anand Bakshi	Shaktimaan	Shaktimaan	Shaktimaan
3	Dilwale Dulhania Le Jayenge	3036	180	189	Romance	0	Yash Raj Films	Shahrukh Khan|Kajol|Amrish Puri|Farida Jalal	Aditya Chopra	Yash Chopra	Jatin-Lalit	Anand Bakshi	Aditya Chopra	Javed Siddique|Aditya Chopra	none
4	Raja Hindustani	2737	185	171	Romance	0	Cineyug Films Pvt. Ltd.	Aamir Khan|Karisma Kapoor|Suresh Oberoi|Johny Lever	Dharmesh Darshan	Bunty Soorma|Karim Morani|Ali Morani	Nadeem-Shravan	Sameer	Robin Bhatt	none	none
5	Dangal	3443	4250	161	Drama	0	Aamir Khan Productions|UTV Motion Pictures	Aamir Khan|Sakshi Tanwar|Fatima Sana Shaikh|Sanya Malhotra	Nitish Tiwari	Aamir Khan|Kiran Rao|Siddharth Roy Kapur	Pritam	Amitabh Bhattacharya	Shreyas Jain	none	none
6	Border	2678	290	176	Action	0	J.P. Films	Rakhee|Sunny Deol|Jackie Shroff|Suneil Shetty	J.P. Dutta	J.P. Dutta	Anu Malik	Javed Akhtar	J.P. Dutta	O.P. Dutta	J.P. Dutta
7	Kuch Kuch Hota Hai	2514	240	185	Romance	0	Dharma Productions Pvt. Ltd.	Shahrukh Khan|Kajol|Rani Mukherjee|Farida Jalal	Karan Johar	Yash Johar	Jatin-Lalit	Sameer	Karan Johar	Karan Johar	Karan Johar
8	Bajrangi Bhaijaan	2899	4100	159	Romance	0	Eros International|Salman Khan Films	Salman Khan|Kareena Kapoor|Nawazuddin Siddiqui|Harshaali Malhotra	Kabir Khan	Salman Khan|Rockline Venkatesh	Pritam	Mayur Puri|Amitabh Bhattacharya|Kausar Munir	none	none	none
9	PK	2482	3600	153	Drama	0	Rajkumar Hirani Films|UTV Motion Pictures|Vidhu Vinod Chopra Productions	Aamir Khan|Anushka Sharma|Sanjay Dutt|Saurabh Shukla	Rajkumar Hirani	Rajkumar Hirani|Vidhu Vinod Chopra	Ajay-Atul|Shantanu Moitra	Swanand Kirkire|Amitabh Verma	none	none	none
10	3 Idiots	136	1750	170	Drama	0	Vidhu Vinod Chopra Productions	Aamir Khan|Kareena Kapoor|R. Madhavan|Sharman Joshi	Rajkumar Hirani	Vidhu Vinod Chopra	Shantanu Moitra	Swanand Kirkire	Rajkumar Hirani|Abhijat Joshi	Rajkumar Hirani	Rajkumar Hirani|Abhijat Joshi
11	Dhoom 3	1956	3650	172	Action	1	Yash Raj Films	Aamir Khan|Abhishek Bachchan|Katrina Kaif|Uday Chopra	Vijay Krishna Acharya	Aditya Chopra	Pritam	Amitabh Bhattacharya|Sameer|Kausar Munir	Vijay Krishna Acharya	none	none
12	Tiger Zinda Hai	3689	4600	161	Action	0	Yash Raj Films	Salman Khan|Katrina Kaif|Paresh Rawal|Sajjad Delafrooz	Ali Abbas Zafar	Aditya Chopra	Vishal-Shekhar	Irshad Kamil	Ali Abbas Zafar	Ali Abbas Zafar	Neelish Misra
13	Sultan	3317	4350	170	Romance	0	Yash Raj Films	Salman Khan|Anushka Sharma|Amit Sadh|Randeep Hooda	Ali Abbas Zafar	Aditya Chopra	Vishal-Shekhar	Irshad Kamil	Ali Abbas Zafar	Ali Abbas Zafar	Ali Abbas Zafar
14	Kabhi Khushi Kabhie Gham...	658	500	210	Drama	0	Dharma Productions Pvt. Ltd.	Amitabh Bachchan|Jaya Bachchan|Shahrukh Khan|Kajol	Karan Johar	Yash Johar	Sandesh Shandilya|Jatin-Lalit	Sameer	Karan Johar	Karan Johar	none
15	Kaho Naa... Pyaar Hai	711	170	171	Romance	0	Filmkraft Pvt. Ltd.	Hrithik Roshan|Ameesha Patel|Anupam Kher|Dalip Tahil	Rakesh Roshan	Rakesh Roshan	Rajesh Roshan	Vijay Akela|Saawan Kumar Tak|Ibrahim Ashik	Rakesh Roshan	none	none
16	Karan Arjun	3032	250	167	Action	0	Filmkraft Pvt. Ltd.	Rakhee|Salman Khan|Shahrukh Khan|Kajol	Rakesh Roshan	Rakesh Roshan	Rajesh Roshan	Indeevar	Sachin Bhowmick|Ravi Kapoor	Anwar Khan	none
17	Dil To Pagal Hai	2635	245	175	Romance	0	Yash Raj Films	Madhuri Dixit|Shahrukh Khan|Karisma Kapoor|Farida Jalal	Yash Chopra	Yash Chopra	Uttam Singh	Anand Bakshi	Yash Chopra|Tanuja Chandra|Pamela Chopra	none	none
18	Hum Saath Saath Hain	992	350	177	Drama	0	Rajshri Productions Pvt. Ltd.	Salman Khan|Karisma Kapoor|Saif Ali Khan|Tabu	Sooraj Barjatya	Rajkumar Barjatya|Kamal Kumar Barjatya|Ajit Kumar Barjatya	Raam-Laxman	Dev Kohli|Ravindra Rawal	none	none	none
19	Padmaavat	3700	3750	163	Drama	0	Sanjay Leela Bhansali Films|Viacom 18 Motion Pictures	Deepika Padukone|Shahid Kapoor|Ranveer Singh|Aditi Rao Hydari	Sanjay Leela Bhansali	Sanjay Leela Bhansali|Sudhanshu Vats|Ajit Andhare	Sanjay Leela Bhansali	A.M. Turaz	Sanjay Leela Bhansali	none	none
20	Mohabbatein	712	315	216	Romance	0	Yash Raj Films	Amitabh Bachchan|Shahrukh Khan|Aishwarya Rai|Uday Chopra	Aditya Chopra	Yash Chopra	Jatin-Lalit	Anand Bakshi	Aditya Chopra	Aditya Chopra	Aditya Chopra
21	Chennai Express	1304	3600	142	Romance	0	Red Chillies Entertainment|UTV Motion Pictures	Shahrukh Khan|Deepika Padukone|Niketan Dheer|Sathyaraj	Rohit Shetty	Ronnie Screwvala|Gauri Khan|Karim Morani|Siddharth Roy Kapur	Honey Singh|Vishal-Shekhar	none	none	none	none
22	Dabangg	65	1900	125	Action	0	Arbaaz Khan Production Pvt. Ltd.|Shree Ashtavinayak Cinevision Ltd.	Salman Khan|Sonakshi Sinha|Vinod Khanna|Dimple Kapadia	Abhinav Kashyap	Maliaka Arora|Arbaaz Khan|Dillion Mehta	Sajid Wajid|Lalit Pandit	Faiz Anwar	none	none	none
23	Ek Tha Tiger	887	3200	133	Action	0	Yash Raj Films	Salman Khan|Katrina Kaif|Ranvir Shorey|Girish Karnad	Kabir Khan	Aditya Chopra	Sajid Wajid|Sohail Sen	Kausar Munir|Neelish Misra|Anvita Dutt	none	none	none
24	Kick	2286	3800	146	Action	0	Nadiadwala Grandson Entertainment|UTV Motion Pictures	Salman Khan|Jacqueline Fernandez|Randeep Hooda|Mithun Chakraborty	Sajid Nadiadwala	Sajid Nadiadwala	Honey Singh|Himesh Reshammiya|Meet Bros	Mayur Puri|Shabbir Ahmed	none	none	none
25	Ghajini	309	1550	179	Action	0	Geetha Arts	Aamir Khan|Asin|Jiah Khan|Pradeep Rawat	A.R. Murugadoss	Madhu Mantena Varma|Allu Arvind	A.R. Rahman	Prasoon Joshi	A.R. Murugadoss	A.R. Murugadoss	none
26	Simmba	5568	4000	159	Romance	0	Dharma Productions Pvt. Ltd.|Reliance Entertainment|Rohit Shetty Productions	Ranveer Singh|Sara Ali Khan|Ashutosh Rana|Sonu Sood	Rohit Shetty	Rohit Shetty|Karan Johar|Hiroo Johar|Apoorva Mehta	DJ Chetas|Lijo George	none	none	none	none
27	Bodyguard	26	2750	139	Action	0	Reel Life Productions|Reliance Entertainment	Salman Khan|Kareena Kapoor|Raj Babbar|Mahesh Manjrekar	Siddique	Atul Agnihotri|Alvira Agnihotri	Himesh Reshammiya|Pritam	Shabbir Ahmed|Neelish Misra	none	none	none
28	Krrish 3	1711	3500	152	Action	1	Filmkraft Pvt. Ltd.	Hrithik Roshan|Priyanka Chopra|Kangana Ranaut|Vivek Oberoi	Rakesh Roshan	Rakesh Roshan	Rajesh Roshan	Sameer	Rakesh Roshan	Irfan Kamal|Honey Irani	none
29	Dhoom 2	176	1000	152	Action	1	Yash Raj Films	Hrithik Roshan|Abhishek Bachchan|Aishwarya Rai|Uday Chopra	Sanjay Gadhvi	Aditya Chopra	Pritam	Sameer	Aditya Chopra	Vijay Krishna Acharya	Vijay Krishna Acharya
30	Mohra	3102	220	162	Action	0	Trimurti Films Pvt. Ltd.	Naseeruddin Shah|Akshay Kumar|Suneil Shetty|Raveena Tandon	Rajiv Rai	Gulshan Rai	Viju Shah	Anand Bakshi|Indeevar	Shabbir Boxwala|Rajiv Rai	none	none
31	Raja	3033	225	151	Drama	0	Maruti Films	Sanjay Kapoor|Madhuri Dixit|Mukesh Khanna|Dalip Tahil	Indra Kumar	Indra Kumar|Ashok Thakeria	Nadeem-Shravan	Sameer	Rajeev Kaul|Praful Parekh	none	none
32	Dabangg 2	1206	3400	129	Action	1	Arbaaz Khan Production Pvt. Ltd.	Salman Khan|Sonakshi Sinha|Prakash Raj|Vinod Khanna	Arbaaz Khan	Maliaka Arora|Arbaaz Khan	Sajid Wajid	Irfan Kamal|Ashraf Ali|Sameer	none	none	none
33	Yeh Jawaani Hai Deewani	1280	2900	159	Romance	0	Dharma Productions Pvt. Ltd.|UTV Motion Pictures	Ranbir Kapoor|Deepika Padukone|Aditya Roy Kapoor|Kalki Koechlin	Ayan Mukherji	Karan Johar|Hiroo Johar	Pritam	Amitabh Bhattacharya	Ayan Mukherji	Hussain Dalal	none
34	Rowdy Rathore	177	2800	140	Action	0	MR Media|Sanjay Leela Bhansali Films|UTV Motion Pictures	Akshay Kumar|Sonakshi Sinha|M. Naseer|Yashpal Sharma	Prabhu Deva	Ronnie Screwvala|Sanjay Leela Bhansali	Sajid Wajid	Sameer|Faiz Anwar	V. Vijayendra Prasad	none	none
35	Golmaal Again	3630	3300	151	Comedy	1	Mangl Murti Films|Reliance Entertainment|Rohit Shetty Productions	Ajay Devgn|Tabu|Arshad Warsi|Shreyas Talpade	Rohit Shetty	Rohit Shetty	DJ Chetas|Lijo George|Thaman S.|Abhishek Arora|Nucleya	none	none	none	none
36	Agni Sakshi	2817	175	142	Thriller	0	Neha Films	Jackie Shroff|Nana Patekar|Manisha Koirala|Divya Dutta	Partho Ghosh	Binda Thackeray	Nadeem-Shravan	Sameer	Ranbir Pushp	Hriday Lani	Ranbir Pushp
37	Krrish	384	950	175	Action	0	Filmkraft Pvt. Ltd.	Rekha|Hrithik Roshan|Priyanka Chopra|Naseeruddin Shah	Rakesh Roshan	Rakesh Roshan	Rajesh Roshan	Vijay Akela|Ibrahim Ashik|Nasir Faraz	Rakesh Roshan	none	none
38	Ready	27	2300	149	Comedy	0	One Up Entertainment Pvt. Ltd.|Rawail Grandsons Entertainment and Software Pvt. Ltd.|Sohail Khan Productions|T-Series	Salman Khan|Asin|Paresh Rawal|Mahesh Manjrekar	Anees Bazmee	Krishan Kumar|Sohail Khan|Bhushan Kumar|Rajat Rawail|Nitin Manmohan	Pritam	none	none	none	none
39	Rangeela	2958	215	143	Romance	0	Ram Gopal Varma Productions	Jackie Shroff|Aamir Khan|Urmila Matondkar|Gulshan Grover	Ram Gopal Varma	Ram Gopal Varma	A.R. Rahman	Mehboob	Ram Gopal Varma	Neeraj Vora	Ram Gopal Varma
40	Om Shanti Om	266	1200	162	Romance	0	Eros International|Red Chillies Entertainment	Shahrukh Khan|Deepika Padukone|Arjun Rampal|Shreyas Talpade	Farah Khan	Gauri Khan	Vishal-Shekhar	Vishal Daldani|Kumaar|Javed Akhtar	Mushtaq Sheikh	none	none
41	Golmaal 3	5	1750	141	Comedy	1	Shree Ashtavinayak Cinevision Ltd.	Mithun Chakraborty|Ajay Devgn|Kareena Kapoor|Arshad Warsi	Rohit Shetty	Dillion Mehta	Pritam	Kumaar	Yunus Sajawal	Yunus Sajawal	Farhad-Sajid
42	Lage Raho Munnabhai	303	600	146	Drama	0	Vidhu Vinod Chopra Productions	Sanjay Dutt|Arshad Warsi|Vidya Balan|Boman Irani	Rajkumar Hirani	Vidhu Vinod Chopra	Shantanu Moitra	Swanand Kirkire	none	Rajkumar Hirani|Abhijat Joshi	Rajkumar Hirani
43	Rab Ne Bana Di Jodi	313	1350	166	Romance	0	Yash Raj Films	Shahrukh Khan|Anushka Sharma|Vinay Pathak|Manmeet Singh	Aditya Chopra	Yash Chopra|Aditya Chopra	Salim-Sulaiman	Jaideep Sahni	Aditya Chopra	Aditya Chopra	none
44	Krantiveer	3093	155	147	Action	0	Mehul Movies Pvt. Ltd.	Dimple Kapadia|Nana Patekar|Atul Agnihotri|Mamta Kulkarni	Mehul Kumar	Mehul Kumar	Anand-Milind	Sameer	K.K. Singh	K.K. Singh	K.K. Singh
45	Baaghi 2	3744	3500	144	Action	1	Fox Star Studio India Pvt. Ltd.|Nadiadwala Grandson Entertainment	Tiger Shroff|Disha Patani|Manoj Bajpai|Randeep Hooda	Ahmed Khan	Sajid Nadiadwala	Arko Pravo Mukherjee|Pranay Rijia|Sandeep Shirodkar|Mithoon|Gourav-Roshin	none	none	none	none
46	Tanu Weds Manu Returns	2870	2150	120	Romance	0	Colour Yellow Picture Ltd.|Eros International	R. Madhavan|Kangana Ranaut|Jimmy Shergill|Deepak Dobriyal	Anand L. Rai	Krishika Lulla|Anand L. Rai	Surj RDB|Tanishk|Vayu|Krsna	none	none	none	none
47	Bahubali - The Beginning	3943	1600	159	Romance	0	Arka Mediaworks|Dharma Productions Pvt. Ltd.	Prabhas|Rana Daggubati|Anushka Shetty|Tamannaah Bhatia	S.S. Rajamouli	K. Raghavendra Rao|Shobu Yarlagadda|Prasad Devineni	M.M. Kreem	Manoj Muntashir	S.S. Rajamouli	none	none
48	Badhaai Ho	3967	2000	125	Comedy	0	Chrome Pictures|Junglee Pictures	Ayushman Khurana|Sanya Malhotra|Gajraj Rao|Neena Gupta	Amit Ravindernath Sharma	Vineet Jain|Hemant Bhandari|Aleya Sen|Amit Ravindernath Sharma	Tanishk|Kaushik-Akash	none	none	Akshat Ghildial	none
49	Raaz	592	215	149	Thriller	0	Tips Industries Pvt. Ltd.|Vishesh Films Pvt. Ltd.	Dino Morea|Bipasha Basu|Ashutosh Rana|Malini Sharma	Vikram Bhatt	Mukesh Bhatt	Nadeem-Shravan	Sameer	Mahesh Bhatt	Mahesh Bhatt	Girish Dhamija
50	Vivah	378	200	163	Drama	0	Rajshri Productions Pvt. Ltd.	Shahid Kapoor|Amrita Rao|Anupam Kher|Alok Nath	Sooraj Barjatya	Ajit Kumar Barjatya|Kamal Kumar Barjatya|Rajkumar Barjatya	Ravindra Jain	Ravindra Jain	Sooraj Barjatya	none	none
51	Aashiqui 2	989	1150	140	Romance	1	T-Series|Vishesh Films Pvt. Ltd.	Aditya Roy Kapoor|Shraddha Kapoor|Shaad Randhawa|Mahesh Thakur	Mohit Suri	Bhushan Kumar|Krishan Kumar|Mukesh Bhatt	Mithoon|Ankit Tiwari|Jeet Ganguly	none	none	none	none
52	Ishq	2627	300	168	Romance	0	Baba Films	Aamir Khan|Ajay Devgn|Juhi Chawla|Kajol	Indra Kumar	Gordhan Tanwani	Anu Malik	Dev Kohli|Javed Akhtar|Anu Malik|Rahat Indori	none	none	none
53	Pardes	2660	210	191	Romance	0	Mukta Arts	Shahrukh Khan|Amrish Puri|Mahima Chaudhary|Apoorva Agnihotri	Subhash Ghai	Subhash Ghai	Nadeem-Shravan	Anand Bakshi	Subhash Ghai	Javed Siddique	Subhash Ghai
54	Barsaat	2968	210	170	Romance	0	Vijayta Films	Bobby Deol|Twinkle Khanna|Raj Babbar|Mukesh Khanna	Rajkumar Santoshi	Dharmendra	Nadeem-Shravan	Sameer	Rajkumar Santoshi	Rajkumar Santoshi|Shyam Gupta	none
55	Biwi No.1	991	285	158	Comedy	0	Puja Entertainment Ltd.	Anil Kapoor|Salman Khan|Karisma Kapoor|Tabu	David Dhawan	Vashu Bhagnani	Anu Malik	Dev Kohli|Sameer|Sukhwinder Singh	Kamal Hassan	none	none
56	Happy New Year	2344	3850	179	Romance	0	Red Chillies Entertainment	Shahrukh Khan|Deepika Padukone|Abhishek Bachchan|Boman Irani	Farah Khan	Gauri Khan	Vishal-Shekhar	Irshad Kamil|Farah Khan|Shekhar Ravjiani|Kumaar	none	none	none
57	Koi Mil Gaya	507	450	171	Other	0	Filmkraft Pvt. Ltd.	Rekha|Hrithik Roshan|Preity Zinta|Rakesh Roshan	Rakesh Roshan	Rakesh Roshan	Rajesh Roshan	Dev Kohli|Ibrahim Ashik|Nasir Faraz	Rakesh Roshan	none	none
58	Ziddi	2693	235	160	Action	0	Ratan International	Sunny Deol|Raveena Tandon|Anupam Kher|Ashish Vidyarthi	Guddu Dhanoa	N.R. Pachisia	Dilip Sen-Sameer Sen	Sameer	Robin Henry	Dilip Shukla	Robin Henry
59	2	5557	4150	149	Other	0	Dharma Productions Pvt. Ltd.|Lyca Productions	Rajnikant|Akshay Kumar|Amy Jackson|Adil Hussain	S. Shankar	A. Subaskaran	A.R. Rahman	Abbas Tyrewala	S. Shankar	Abbas Tyrewala	S. Shankar
60	Soldier	2503	220	154	Action	0	Tips Industries Pvt. Ltd.	Rakhee|Bobby Deol|Preity Zinta|Farida Jalal	Abbas-Mustan	Ramesh S. Taurani|Kumar S. Taurani	Anu Malik	Sameer	Sachin Bhowmick|Shyam Goel	none	none
61	Hero No. 1	2704	230	137	Comedy	0	Puja Entertainment Ltd.	Govinda|Karisma Kapoor|Kader Khan|Paresh Rawal	David Dhawan	Vashu Bhagnani	Anand-Milind	Sameer	Rumi Jaffery	Rumi Jaffery	Rumi Jaffery
62	Jeet	2769	235	164	Action	0	Nadiadwala Grandson Entertainment	Sunny Deol|Salman Khan|Karisma Kapoor|Tabu	Raj Kanwar	Sajid Nadiadwala	Nadeem-Shravan	Sameer	Raj Kanwar	Amrik Gill	Raj Kanwar
63	Pyaar To Hona Hi Tha	2548	180	161	Romance	0	Baba Films	Ajay Devgn|Kajol|Bijay Anand|Kashmira Shah	Anees Bazmee	Gordhan Tanwani	Jatin-Lalit	Sameer|Vinoo Mahendra	Anees Bazmee	Anees Bazmee	none
64	Mission Mangal	5699	3200	133	Drama	0	Cape Of Good Films Pvt. Ltd.|Fox Star Studio India Pvt. Ltd.|Hope Productions Pvt. Ltd.	Akshay Kumar|Vidya Balan|Sonakshi Sinha|Taapsee Pannu	Jagan Shakti	none	Amit Trivedi	Amitabh Bhattacharya	R. Balki	R. Balki	Jagan Shakti
65	Singham Returns	2289	3500	145	Action	0	Ajay Devgn Films|Reliance Entertainment|Rohit Shetty Productions	Ajay Devgn|Kareena Kapoor|Amol Gupte|Anupam Kher	Rohit Shetty	Ajay Devgn	Honey Singh|Jeet Ganguly|Ankit Tiwari|Meet Bros	Abhay Upadhyay	none	none	none
66	Agneepath	1	2600	168	Action	0	Dharma Productions Pvt. Ltd.	Rishi Kapoor|Sanjay Dutt|Hrithik Roshan|Priyanka Chopra	Karan Malhotra	Karan Johar|Hiroo Johar	Ajay-Atul	Amitabh Bhattacharya	none	Karan Malhotra|Ila Bedi Dutta	none
67	Welcome	265	1250	159	Comedy	0	Base Industries Group	Feroz Khan|Anil Kapoor|Nana Patekar|Akshay Kumar	Anees Bazmee	Firoz Nadiadwala	Sajid Wajid|Himesh Reshammiya|Anand Raj Anand	Ibrahim Ashik|Anand Raj Anand	none	none	none
68	Khiladiyon Ka Khiladi	2793	230	160	Action	0	DMS Films Pvt. Ltd.	Rekha|Akshay Kumar|Raveena Tandon|Inder Kumar	Umesh Mehra	Keshu Ramsay	Anu Malik	Dev Kohli|Indeevar	Anand Vardhan|Umesh Mehra	none	none
69	Singham	4	2050	144	Action	0	Reliance Entertainment	Ajay Devgn|Kajal Aggarwal|Prakash Raj|Sonali Kulkarni	Rohit Shetty	none	Ajay-Atul	Swanand Kirkire	Hari	Yunus Sajawal	Farhad-Sajid
70	Ghatak	2739	220	152	Action	0	Santoshi Productions	Sunny Deol|Meenakshi Sheshadri|Danny Denzongpa|Amrish Puri	Rajkumar Santoshi	Rajkumar Santoshi	Anu Malik|R.D. Burman	Rahat Indori|Majrooh Sultanpuri	Rajkumar Santoshi	none	none
71	Housefull 2	3	2650	156	Comedy	1	Eros International|Nadiadwala Grandson Entertainment	Akshay Kumar|John Abraham|Rishi Kapoor|Randhir Kapoor	Sajid Khan	Sajid Nadiadwala	Sajid Wajid	Sameer	Sajid Nadiadwala	Sajid Khan|Tushar Hiranandani	none
72	Raja Babu	3183	195	150	Romance	0	Sapna Arts	Govinda|Karisma Kapoor|Shakti Kapoor|Aruna Irani	David Dhawan	Nandu Tolani	Anand-Milind	Sameer	K. Bhagyaraj	Anees Bazmee	K. Bhagyaraj
73	Pyaar Kiya To Darna Kya	2583	225	150	Romance	0	G.S. Entertainment Pvt. Ltd.	Dharmendra|Salman Khan|Kajol|Arbaaz Khan	Sohail Khan	Sohail Khan|Bunty Walia	Sajid Wajid|Himesh Reshammiya|Jatin-Lalit	Sudhakar Sharma	none	none	none
74	Saajan Chale Sasural	2807	210	133	Romance	0	Anas Films Pvt. Ltd.	Govinda|Karisma Kapoor|Tabu|Kader Khan	David Dhawan	Mansoor Ahmad Siddiqui	Nadeem-Shravan	Sameer	Rumi Jaffery	Kader Khan	none
75	Raajneeti	89	1750	167	Thriller	0	Prakash Jha Productions|UTV Motion Pictures|Walkwater Media Ltd.	Nana Patekar|Ajay Devgn|Ranbir Kapoor|Katrina Kaif	Prakash Jha	Prakash Jha	Pritam|Shantanu Moitra|Aadesh Shrivastava|Wayne Sharpe	Gulzar	none	none	none
76	Coolie No. 1	2974	210	139	Romance	0	Puja Entertainment Ltd.	Govinda|Karisma Kapoor|Harish|Kanchan	David Dhawan	Vashu Bhagnani	Anand-Milind	Sameer	Rumi Jaffery	Kader Khan	Amma Creations
77	Partner	258	1100	155	Comedy	0	Eros International|Sohail Khan Productions	Govinda|Salman Khan|Lara Datta|Katrina Kaif	David Dhawan	Parag Sanghavi|Sohail Khan	Sajid Wajid	Jalees Sherwani|Shabbir Ahmed|Sanjay Chhel	none	none	none
78	Singh Is Kinng	202	1400	135	Romance	0	Blockbuster Movie Entertainers|Hari Om Entertainment	Akshay Kumar|Katrina Kaif|Om Puri|Kirron Kher	Anees Bazmee	Vipul Amrutlal Shah	Pritam	Mayur Puri	Suresh Nair|Anees Bazmee	Suresh Nair	none
79	Judaai	2703	170	160	Drama	0	S.K. Films Enterprises	Anil Kapoor|Sridevi|Urmila Matondkar|Kader Khan	Raj Kanwar	Boney Kapoor|Surinder Kapoor	Nadeem-Shravan	Sameer	Kaushik Kapadia	Jainendra Jain	none
80	Chak De India	234	500	152	Drama	0	Yash Raj Films	Shahrukh Khan|Vidya Mallavde|Tanya Abrol|Sagarika Ghatge	Shimit Amin	Yash Chopra|Aditya Chopra	Salim-Sulaiman	Jaideep Sahni	Jaideep Sahni	Jaideep Sahni	none
81	Fanaa	297	650	168	Romance	0	Yash Raj Films	Aamir Khan|Kajol|Rishi Kapoor|Tabu	Kunal Kohli	Aditya Chopra	Jatin-Lalit	Prasoon Joshi	Shibani Bathija	Shibani Bathija	Kunal Kohli
82	Bandit Queen	2827	115	119	Drama	0	B.V. Video Graphics Pvt. Ltd.|Kaleidoscope Entertainment Pvt. Ltd.	Seema Biswas|Nirmal Pandey|Manoj Bajpai|Rajesh Vivek	Shekhar Kapur	Bobby Bedi	Nusrat Fateh Ali Khan	none	Mala Sen	Ranjit Kapoor	Mala Sen
83	Hum Aapke Dil Mein Rehte Hain	2455	190	165	Drama	0	Suresh Productions Pvt. Ltd.	Anil Kapoor|Kajol|Anupam Kher|Shakti Kapoor	Satish Kaushik	D. Rama Naidu	Anu Malik	Sameer	none	Jainendra Jain	Bhupati Raja
84	Veer Zaara	451	625	192	Romance	0	Yash Raj Films	Shahrukh Khan|Preity Zinta|Rani Mukherjee|Manoj Bajpai	Yash Chopra	Yash Chopra|Aditya Chopra	Madan Mohan|Sanjeev Kohli	Javed Akhtar	Aditya Chopra	none	none
85	No Entry	389	600	158	Comedy	0	S.K. Films Enterprises	Anil Kapoor|Salman Khan|Fardeen Khan|Bipasha Basu	Anees Bazmee	Boney Kapoor|Surinder Kapoor	Anu Malik	Sameer	Anees Bazmee	Anees Bazmee	none
86	Rustom	3357	2350	150	Drama	0	Cape Of Good Films Pvt. Ltd.|Essel Vision Productions Ltd.|KriArj Entertainment|Plan C Studio	Akshay Kumar|Ileana D'Cruz|Arjan Bajwa|Esha Gupta	Tinu Suresh Desai	Ishwar Kapoor|Virendra Arora|Akash Chawla|Aruna Bhatia|Nitin Keni|Shital Bhatia	none	none	none	none	none
87	Toilet Ek Prem Katha	3578	2950	135	Drama	0	Cape Of Good Films Pvt. Ltd.|KriArj Entertainment|Plan C Studio|Viacom 18 Motion Pictures	Akshay Kumar|Bhumi Pednekar|Divyendu Sharma|Anupam Kher	Shree Narayan Singh	Shital Bhatia|Arjun N. Kapoor|Hitesh Thakkar|Aruna Bhatia	Vickey Prasad|Manas-Shikhar	none	none	none	none
88	Chhichhore	5706	2050	146	Drama	0	Fox Star Studio India Pvt. Ltd.|Nadiadwala Grandson Entertainment	Sushant Singh Rajput|Shraddha Kapoor|Varun Sharma|Tahir Bhasin	Nitish Tiwari	Sajid Nadiadwala	Pritam	Amitabh Bhattacharya	Nikhil Mehrotra|Piyush Gupta|Nitish Tiwari	none	none
89	Judwaa 2	3611	3500	149	Romance	0	Fox Star Studio India Pvt. Ltd.|Nadiadwala Grandson Entertainment	Varun Dhawan|Jacqueline Fernandez|Taapsee Pannu|Anupam Kher	David Dhawan	Sajid Nadiadwala	Sajid Wajid|Sandeep Shirodkar|Meet Bros|Anuj Garg	Dev Kohli	none	none	none
90	Dilwale	3178	120	165	Drama	0	S.P. Creations	Ajay Devgn|Suneil Shetty|Raveena Tandon|Paresh Rawal	Harry Baweja	Pammi Baweja	Nadeem-Shravan	Sameer	Karan Razdan	Karan Razdan	Karan Razdan
91	Airlift	3211	1950	144	Drama	0	Abundantia Entertainment|Cape Of Good Films Pvt. Ltd.|Emmay Entertainment|T-Series	Akshay Kumar|Nimrat Kaur|Purab Kohli|Kumud Mishra	Raja Krishna Menon	Monisha Advani|Madhu Bhojwani|Krishan Kumar|Nikhil Advani|Bhushan Kumar|Aruna Bhatia	none	none	none	none	none
92	Taare Zameen Par	263	500	165	Drama	0	Aamir Khan Productions	Aamir Khan|Darsheel Safary|Tisca Chopra|Tanay Chheda	Aamir Khan	Aamir Khan	Shankar-Ehsaan-Loy	Prasoon Joshi	Amol Gupte	Amol Gupte	Amol Gupte
93	Dream Girl	5707	2650	142	Comedy	0	Balaji Motion Pictures	Ayushman Khurana|Nushrat Bharucha|Anu Kapoor|Vijay Raaz	Raaj Shaandilyaa	Ekta Kapoor|Shobha Kapoor	Meet Bros	Shabbir Ahmed|Kumaar	Raaj Shaandilyaa	none	none
