Year	CPI_Ratio
1994	5.77
1995	5.27
1996	4.80
1997	4.35
1998	4.09
1999	3.55
2000	3.53
2001	3.41
2002	3.25
2003	3.15
2004	3.03
2005	2.92
2006	2.77
2007	2.60
2008	2.46
2009	2.25
2010	1.95
2011	1.78
2012	1.68
2013	1.51
2014	1.38
2015	1.30
2016	1.23
2017	1.20
2018	1.15
2019	1.10
2020	1.00
